No.	Name	Chromosome No./Scaffold Id	BLAST (UniRef)	Gene ontology		
				GO:0004190	F	aspartic-type endopeptidase activity
				GO:0006508	P	proteolysis
15	KWMTBOMO00015	Bomo_Chr1	"PREDICTED:_proline-,_glutamic_acid-_and_leucine-rich_protein_1-like_[Bombyx_mori]"			
	1017 bp					
16	KWMTBOMO00016	Bomo_Chr1	Transposon_Ty3-G_Gag-Pol_polyprotein_[Papilio_machaon]	GO:0003676	F	nucleic acid binding
	4872 bp			GO:0008270	F	zinc ion binding
				GO:0015074	P	DNA integration
17	KWMTBOMO00017	Bomo_Chr1	PREDICTED:_uncharacterized_protein_LOC105841884_[Bombyx_mori]			
	1134 bp					
18	KWMTBOMO00018	Bomo_Chr1	PREDICTED:_uncharacterized_protein_LOC106133815_[Amyelois_transitella]			
	1029 bp					
19	KWMTBOMO00019	Bomo_Chr1	PREDICTED:_tan_protein_isoform_X1_[Bombyx_mori]			
	1224 bp					
20	KWMTBOMO00020	Bomo_Chr1	PREDICTED:_selenoprotein_K-like_[Papilio_polytes]			
	270 bp					
21	KWMTBOMO00021	Bomo_Chr1	PREDICTED:_haloacid_dehalogenase_isoform_X1_[Bombyx_mori]	GO:0008152	P	metabolic process
	639 bp			GO:0016787	F	hydrolase activity
22	KWMTBOMO00022	Bomo_Chr1	PREDICTED:_ephrin_type-B_receptor_1-B_[Plutella_xylostella]	GO:0004713	F	protein-tyrosine kinase activity
	3021 bp			GO:0006468	P	protein amino acid phosphorylation
				GO:0005515	F	protein binding
				GO:0004672	F	protein kinase activity
				GO:0005524	F	ATP binding
				GO:0048013	P	ephrin receptor signaling pathway
				GO:0005003	F	ephrin receptor activity
				GO:0005887	C	integral to plasma membrane
				GO:0007169	P	transmembrane receptor protein tyrosine kinase signaling pathway
				GO:0016021	C	integral to membrane
23	KWMTBOMO00023	Bomo_Chr1	PREDICTED:_UDP-sugar_transporter_UST74c_[Amyelois_transitella]			
	993 bp					
24	KWMTBOMO00024	Bomo_Chr1	"PREDICTED:_protein_tramtrack,_beta_isoform-like_isoform_X3_[Bombyx_mori]"	GO:0005515	F	protein binding
	1221 bp			GO:0046872	F	metal ion binding
25	KWMTBOMO00025	Bomo_Chr1	"PREDICTED:_cytochrome_b-c1_complex_subunit_1,_mitochondrial-like_[Amyelois_transitella]"	GO:0003824	F	catalytic activity
	1401 bp			GO:0046872	F	metal ion binding
26	KWMTBOMO00026	Bomo_Chr1	Mitochondrial_processing_peptidase_beta_subunit_[Operophtera_brumata]	GO:0046872	F	metal ion binding
	1395 bp			GO:0003824	F	catalytic activity
27	KWMTBOMO00027	Bomo_Chr1	PREDICTED:_dipeptidase_1-like_[Bombyx_mori]	GO:0006508	P	proteolysis
	951 bp			GO:0008235	F	metalloexopeptidase activity
				GO:0008239	F	dipeptidyl-peptidase activity
				GO:0016805	F	dipeptidase activity
28	KWMTBOMO00028	Bomo_Chr1	actin_[Operophtera_brumata]			
	1131 bp					
29	KWMTBOMO00029	Bomo_Chr1	beta-actin_[Operophtera_brumata]			
	1110 bp					
30	KWMTBOMO00030	Bomo_Chr1	PREDICTED:_dipeptidase_1-like_[Bombyx_mori]	GO:0006508	P	proteolysis
	381 bp			GO:0016805	F	dipeptidase activity
31	KWMTBOMO00031	Bomo_Chr1	hypothetical_protein_KGM_08807_[Danaus_plexippus]	GO:0003676	F	nucleic acid binding
	705 bp			GO:0046872	F	metal ion binding
32	KWMTBOMO00032	Bomo_Chr1	reverse_transcriptase_[Bombyx_mori]			
	1242 bp					
33	KWMTBOMO00033	Bomo_Chr1	CYP303A1_[Helicoverpa_armigera]	GO:0005506	F	iron ion binding
	1497 bp			GO:0016705	F	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
				GO:0020037	F	heme binding
34	KWMTBOMO00034	Bomo_Chr1	putative_transposase_yabusame-1_[Bombyx_mori]			
	1833 bp					
35	KWMTBOMO00035	Bomo_Chr1	reverse_transcriptase_[Danaus_plexippus]			
	1278 bp					
36	KWMTBOMO00036	Bomo_Chr1	"PREDICTED:_alpha-1,3-mannosyl-glycoprotein_4-beta-N-acetylglucosaminyltransferase_B-like_[Bombyx_mori]"	GO:0005975	P	carbohydrate metabolic process
	1515 bp			GO:0016020	C	membrane
				GO:0016758	F	"transferase activity, transferring hexosyl groups"
37	KWMTBOMO00037	Bomo_Chr1	PREDICTED:_antigen_LPMC-61_[Bombyx_mori]			
	960 bp					
38	KWMTBOMO00038	Bomo_Chr1	PREDICTED:_RNA-directed_DNA_polymerase_from_mobile_element_jockey-like_[Plutella_xylostella]			
	2058 bp					
39	KWMTBOMO00039	Bomo_Chr1	macrophage_migration_inhibitory_factor-like_protein_[Antheraea_yamamai]			
	444 bp					
40	KWMTBOMO00040	Bomo_Chr1	"PREDICTED:_probable_3',5'-cyclic_phosphodiesterase_pde-5_isoform_X3_[Amyelois_transitella]"	GO:0004114	F	"3',5'-cyclic-nucleotide phosphodiesterase activity"
	1971 bp			GO:0007165	P	signal transduction
				GO:0005515	F	protein binding
				GO:0008081	F	phosphoric diester hydrolase activity
41	KWMTBOMO00041	Bomo_Chr1	"PREDICTED:_probable_3',5'-cyclic_phosphodiesterase_pde-5_isoform_X1_[Amyelois_transitella]"			
	660 bp					
42	KWMTBOMO00042	Bomo_Chr1	PREDICTED:_mitochondrial_thiamine_pyrophosphate_carrier-like_[Amyelois_transitella]			
	447 bp					
43	KWMTBOMO00043	Bomo_Chr1	PREDICTED:_uncharacterized_protein_DDB_G0272718_[Bombyx_mori]			
	375 bp					
44	KWMTBOMO00044	Bomo_Chr1	PREDICTED:_cAMP-dependent_protein_kinase_regulatory_subunit-like_[Bombyx_mori]			
	420 bp					
45	KWMTBOMO00045	Bomo_Chr1	hypothetical_protein_KGM_08765_[Danaus_plexippus]			
	546 bp					
46	KWMTBOMO00046	Bomo_Chr1	AAEL005572-PA_[Aedes_aegypti]	GO:0003677	F	DNA binding
	621 bp			GO:0004803	F	transposase activity
				GO:0006313	P	"transposition, DNA-mediated"
47	KWMTBOMO00047	Bomo_Chr1	gamma-soluble_nsf_attachment_protein_[Danaus_plexippus]	GO:0005515	F	protein binding
	771 bp					
48	KWMTBOMO00048	Bomo_Chr1	AF461149_1_transposase_[Bombyx_mori]	GO:0003677	F	DNA binding
	1041 bp					
49	KWMTBOMO00049	Bomo_Chr1	Uncharacterised_protein_[Mycobacterium_tuberculosis]			
	387 bp					
50	KWMTBOMO00050	Bomo_Chr1	PREDICTED:_zinc_finger_protein_135_[Bombyx_mori]	GO:0003676	F	nucleic acid binding
	594 bp			GO:0046872	F	metal ion binding
51	KWMTBOMO00051	Bomo_Chr1	putative_CTCF-like_protein_[Danaus_plexippus]	GO:0003676	F	nucleic acid binding
	1911 bp			GO:0046872	F	metal ion binding
52	KWMTBOMO00052	Bomo_Chr1	PREDICTED:_solute_carrier_family_35_member_C2_[Bombyx_mori]			
	1086 bp					
53	KWMTBOMO00053	Bomo_Chr1	PREDICTED:_protein_KBP_homolog_[Amyelois_transitella]			
	1653 bp					
54	KWMTBOMO00054	Bomo_Chr1	putative_myosin_light_chain_kinase_[Danaus_plexippus]	GO:0004672	F	protein kinase activity
	1809 bp			GO:0005524	F	ATP binding
				GO:0006468	P	protein amino acid phosphorylation
55	KWMTBOMO00055	Bomo_Chr1	PREDICTED:_uncharacterized_protein_LOC105841266_[Bombyx_mori]	GO:0005515	F	protein binding
	24939 bp					
56	KWMTBOMO00056	Bomo_Chr1	PREDICTED:_mitogen-activated_protein_kinase_kinase_kinase_12-like_[Bombyx_mori]	GO:0004672	F	protein kinase activity
	1578 bp			GO:0006468	P	protein amino acid phosphorylation
				GO:0005524	F	ATP binding
57	KWMTBOMO00057	Bomo_Chr1	PREDICTED:_ADP-ribosylation_factor_GTPase-activating_protein_1-like_[Bombyx_mori]	GO:0005096	F	GTPase activator activity
	1041 bp					
58	KWMTBOMO00058	Bomo_Chr1	reverse_transcriptase_[Bombyx_mori]			
	3321 bp					
59	KWMTBOMO00059	Bomo_Chr1	PREDICTED:_protein_tyrosine_phosphatase_isoform_X2_[Bombyx_mori]	GO:0004725	F	protein tyrosine phosphatase activity
	1305 bp			GO:0016311	P	dephosphorylation
				GO:0016791	F	phosphoric monoester hydrolase activity
				GO:0006470	P	protein amino acid dephosphorylation
60	KWMTBOMO00060	Bomo_Chr1	PREDICTED:_LOW_QUALITY_PROTEIN:_peroxisomal_membrane_protein_PEX16_[Bombyx_mori]			
	990 bp					
61	KWMTBOMO00061	Bomo_Chr1	PREDICTED:_protein_Jumonji_isoform_X1_[Bombyx_mori]	GO:0003677	F	DNA binding
	8634 bp					
62	KWMTBOMO00062	Bomo_Chr1	PREDICTED:_zinc_finger_CCHC_domain-containing_protein_13-like_[Bombyx_mori]	GO:0003676	F	nucleic acid binding
	384 bp			GO:0008270	F	zinc ion binding
63	KWMTBOMO00063	Bomo_Chr1	PREDICTED:_protein_jim_lovell-like_isoform_X2_[Papilio_machaon]			
	435 bp					
64	KWMTBOMO00064	Bomo_Chr1	PREDICTED:_uncharacterized_protein_LOC101745111_isoform_X1_[Bombyx_mori]	GO:0003677	F	DNA binding
	1284 bp			GO:0005515	F	protein binding
65	KWMTBOMO00065	Bomo_Chr1	PREDICTED:_quinone_oxidoreductase_isoform_X1_[Bombyx_mori]	GO:0016491	F	oxidoreductase activity
	1143 bp					
66	KWMTBOMO00066	Bomo_Chr1	hypothetical_protein_KGM_18594_[Danaus_plexippus]			
	402 bp					
67	KWMTBOMO00067	Bomo_Chr1	PREDICTED:_plexin_domain-containing_protein_2_isoform_X1_[Bombyx_mori]	GO:0016020	C	membrane
	1602 bp					
68	KWMTBOMO00068	Bomo_Chr1	biogenesis_of_lysosome-related_organelles_complex_1_subunit_2_[Bombyx_mori]			
	438 bp					
69	KWMTBOMO00069	Bomo_Chr1	PREDICTED:_glucose_transporter_type_1-like_[Bombyx_mori]	GO:0016020	C	membrane
	1944 bp			GO:0022891	F	substrate-specific transmembrane transporter activity
				GO:0005215	F	transporter activity
				GO:0016021	C	integral to membrane
				GO:0022857	F	transmembrane transporter activity
70	KWMTBOMO00070	Bomo_Chr1	reverse_transcriptase_[Bombyx_mori]			
	741 bp					
71	KWMTBOMO00071	Bomo_Chr1	AF461149_1_transposase_[Bombyx_mori]	GO:0003677	F	DNA binding
	1056 bp					
72	KWMTBOMO00072	Bomo_Chr1	reverse_transcriptase_[Bombyx_mori]			
	4302 bp					
73	KWMTBOMO00073	Bomo_Chr1	PREDICTED:_uncharacterized_protein_LOC105391048_[Plutella_xylostella]	GO:0003676	F	nucleic acid binding
	3567 bp			GO:0015074	P	DNA integration
74	KWMTBOMO00074	Bomo_Chr1	endonuclease_and_reverse_transcriptase-like_protein_[Bombyx_mori]			
	1179 bp					
75	KWMTBOMO00075	Bomo_Chr1	reverse_transcriptase_[Bombyx_mori]			
	2175 bp					
76	KWMTBOMO00076	Bomo_Chr1	PREDICTED:_tubulin_alpha-1_chain-like_[Papilio_polytes]	GO:0003924	F	GTPase activity
	1353 bp			GO:0005874	C	microtubule
				GO:0007017	P	microtubule-based process
				GO:0005200	F	structural constituent of cytoskeleton
				GO:0005525	F	GTP binding
77	KWMTBOMO00077	Bomo_Chr1	hypothetical_protein_KGM_08772_[Danaus_plexippus]			
	4317 bp					
78	KWMTBOMO00078	Bomo_Chr1	PREDICTED:_uncharacterized_protein_LOC101742420_[Bombyx_mori]			
	1014 bp					
79	KWMTBOMO00079	Bomo_Chr1	PREDICTED:_protein_RCC2_homolog_[Amyelois_transitella]			
	1443 bp					
80	KWMTBOMO00080	Bomo_Chr1	PREDICTED:_protein-methionine_sulfoxide_oxidase_Mical_isoform_X2_[Papilio_machaon]	GO:0008270	F	zinc ion binding
	6786 bp			GO:0016491	F	oxidoreductase activity
81	KWMTBOMO00081	Bomo_Chr1	PREDICTED:_CUB_and_sushi_domain-containing_protein_3_isoform_X2_[Bombyx_mori]			
	3009 bp					
82	KWMTBOMO00082	Bomo_Chr1	PREDICTED:_uncharacterized_protein_LOC105842396_[Bombyx_mori]	GO:0005515	F	protein binding
	1023 bp			GO:0008270	F	zinc ion binding
83	KWMTBOMO00083	Bomo_Chr1	PREDICTED:_CUB_and_sushi_domain-containing_protein_3_isoform_X3_[Bombyx_mori]			
	249 bp					
84	KWMTBOMO00084	Bomo_Chr1	PREDICTED:_SET_and_MYND_domain-containing_protein_4-like_[Plutella_xylostella]	GO:0005515	F	protein binding
	720 bp					
85	KWMTBOMO00085	Bomo_Chr1	PREDICTED:_SET_and_MYND_domain-containing_protein_4_[Papilio_polytes]	GO:0005515	F	protein binding
	1116 bp					
86	KWMTBOMO00086	Bomo_Chr1	"PREDICTED:_pyruvate_dehydrogenase_phosphatase_regulatory_subunit,_mitochondrial_isoform_X1_[Papilio_machaon]"	GO:0016491	F	oxidoreductase activity
	2706 bp			GO:0005515	F	protein binding
87	KWMTBOMO00087	Bomo_Chr1	hypothetical_protein_KGM_18604_[Danaus_plexippus]			
	411 bp					
88	KWMTBOMO00088	Bomo_Chr1	PREDICTED:_enkurin_[Papilio_xuthus]			
	402 bp					
89	KWMTBOMO00089	Bomo_Chr1	PREDICTED:_deformed_epidermal_autoregulatory_factor_1_isoform_X1_[Bombyx_mori]	GO:0003677	F	DNA binding
	1380 bp					
90	KWMTBOMO00090	Bomo_Chr1	PREDICTED:_uncharacterized_protein_LOC101742856_isoform_X2_[Bombyx_mori]	GO:0005515	F	protein binding
	1095 bp					
91	KWMTBOMO00091	Bomo_Chr1	PREDICTED:_laminin_subunit_alpha_[Bombyx_mori]	GO:0005515	F	protein binding
	11202 bp			GO:0007155	P	cell adhesion
92	KWMTBOMO00092	Bomo_Chr1	PREDICTED:_LOW_QUALITY_PROTEIN:_uncharacterized_protein_LOC101739801_[Bombyx_mori]	GO:0016021	C	integral to membrane
	3963 bp					
93	KWMTBOMO00093	Bomo_Chr1	PREDICTED:_uncharacterized_protein_LOC105842500_[Bombyx_mori]			
	258 bp					
94	KWMTBOMO00094	Bomo_Chr1	putative_laminin_A_chain_[Danaus_plexippus]	GO:0005515	F	protein binding
	8814 bp			GO:0015074	P	DNA integration
				GO:0003676	F	nucleic acid binding
95	KWMTBOMO00095	Bomo_Chr1	Zinc_finger_DNA_binding_protein_[Operophtera_brumata]			
	1104 bp					
96	KWMTBOMO00096	Bomo_Chr1	"abnormal_chemosensory_jump_6,_splice_form_A,_partial_[Bombyx_mori]"	GO:0003677	F	DNA binding
	708 bp			GO:0003700	F	transcription factor activity
				GO:0006355	P	"regulation of transcription, DNA-dependent"
				GO:0043565	F	sequence-specific DNA binding
97	KWMTBOMO00097	Bomo_Chr1	PREDICTED:_uncharacterized_protein_CG1161_[Papilio_polytes]	GO:0016021	C	integral to membrane
	567 bp					
98	KWMTBOMO00098	Bomo_Chr1	conserved_hypothetical_protein_[Ixodes_scapularis]	GO:0016021	C	integral to membrane
	333 bp					
99	KWMTBOMO00099	Bomo_Chr1	PREDICTED:_roquin-1_isoform_X4_[Bombyx_mori]	GO:0005515	F	protein binding
	2559 bp			GO:0008270	F	zinc ion binding
				GO:0046872	F	metal ion binding
100	KWMTBOMO00100	Bomo_Chr1	hypothetical_protein_KGM_18647_[Danaus_plexippus]	GO:0005515	F	protein binding
	1953 bp					
101	KWMTBOMO00101	Bomo_Chr1	blastopia_polyprotein_[Lasius_niger]	GO:0003676	F	nucleic acid binding
	3804 bp			GO:0008270	F	zinc ion binding
				GO:0004190	F	aspartic-type endopeptidase activity
				GO:0006508	P	proteolysis
				GO:0015074	P	DNA integration
102	KWMTBOMO00102	Bomo_Chr1	PREDICTED:_calpain-C_[Bombyx_mori]	GO:0005509	F	calcium ion binding
	1656 bp			GO:0004198	F	calcium-dependent cysteine-type endopeptidase activity
				GO:0005622	C	intracellular
				GO:0006508	P	proteolysis
103	KWMTBOMO00103	Bomo_Chr1	"PREDICTED:_succinate_dehydrogenase_assembly_factor_3,_mitochondrial_[Plutella_xylostella]"			
	261 bp					
104	KWMTBOMO00104	Bomo_Chr1	PREDICTED:_serine/threonine-protein_kinase_prp4_isoform_X1_[Papilio_machaon]	GO:0004672	F	protein kinase activity
	2865 bp			GO:0005524	F	ATP binding
				GO:0006468	P	protein amino acid phosphorylation
105	KWMTBOMO00105	Bomo_Chr1	PREDICTED:_uncharacterized_protein_LOC105392398_[Plutella_xylostella]			
	501 bp					
106	KWMTBOMO00106	Bomo_Chr1	PREDICTED:_importin-7_isoform_X1_[Bombyx_mori]	GO:0005488	F	binding
	2337 bp					
107	KWMTBOMO00107	Bomo_Chr1	"PREDICTED:_uncharacterized_protein_LOC105700222,_partial_[Orussus_abietinus]"	GO:0015074	P	DNA integration
	5217 bp			GO:0003676	F	nucleic acid binding
108	KWMTBOMO00108	Bomo_Chr1	PREDICTED:_importin-7_isoform_X1_[Bombyx_mori]	GO:0006886	P	intracellular protein transport
	825 bp			GO:0008536	F	Ran GTPase binding
				GO:0005488	F	binding
109	KWMTBOMO00109	Bomo_Chr1	"PREDICTED:_type_I_inositol_3,4-bisphosphate_4-phosphatase-like_[Bombyx_mori]"	GO:0005515	F	protein binding
	3471 bp					
110	KWMTBOMO00110	Bomo_Chr1	PREDICTED:_probable_NADH_dehydrogenase_[ubiquinone]_1_alpha_subcomplex_subunit_12_isoform_X2_[Bombyx_mori]	GO:0008137	F	NADH dehydrogenase (ubiquinone) activity
	465 bp			GO:0009055	F	electron carrier activity
				GO:0016020	C	membrane
111	KWMTBOMO00111	Bomo_Chr1	Bmptp-Z_and_Bmap-A_fusion_protein_alpha_[Bombyx_mori]	GO:0008270	F	zinc ion binding
	864 bp			GO:0003677	F	DNA binding
				GO:0006355	P	"regulation of transcription, DNA-dependent"
				GO:0043565	F	sequence-specific DNA binding
112	KWMTBOMO00112	Bomo_Chr1	apterous_[Bombyx_mori]	GO:0003677	F	DNA binding
	1050 bp			GO:0008270	F	zinc ion binding
				GO:0006355	P	"regulation of transcription, DNA-dependent"
				GO:0043565	F	sequence-specific DNA binding
113	KWMTBOMO00113	Bomo_Chr1	PREDICTED:_solute_carrier_family_22_member_13-like_[Papilio_xuthus]	GO:0005215	F	transporter activity
	1722 bp			GO:0016021	C	integral to membrane
				GO:0022857	F	transmembrane transporter activity
114	KWMTBOMO00114	Bomo_Chr1	endonuclease-reverse_transcriptase_[Bombyx_mori]			
	1272 bp					
115	KWMTBOMO00115	Bomo_Chr1	transient_receptor_potential_cation_channel_subfamily_A_member_1_[Bombyx_mori]	GO:0005515	F	protein binding
	354 bp					
116	KWMTBOMO00116	Bomo_Chr1	reverse_transcriptase_[Bombyx_mori]			
	2700 bp					
117	KWMTBOMO00117	Bomo_Chr1	gag-like_protein_[Bombyx_mori]			
	1629 bp					
118	KWMTBOMO00118	Bomo_Chr1	transient_receptor_potential_cation_channel_subfamily_A_member_1_[Bombyx_mori]	GO:0005515	F	protein binding
	3039 bp			GO:0005216	F	ion channel activity
				GO:0006811	P	ion transport
				GO:0016020	C	membrane
119	KWMTBOMO00119	Bomo_Chr1	PREDICTED:_uncharacterized_protein_LOC101744434_[Bombyx_mori]			
	201 bp					
120	KWMTBOMO00120	Bomo_Chr1	Band_7_protein_AAEL010189_[Papilio_xuthus]	GO:0016020	C	membrane
	831 bp					
121	KWMTBOMO00121	Bomo_Chr1	hypothetical_protein_KGM_18576_[Danaus_plexippus]			
	2448 bp					
122	KWMTBOMO00122	Bomo_Chr1	PREDICTED:_LETM1_domain-containing_protein_1_isoform_X1_[Papilio_polytes]	GO:0043022	F	ribosome binding
	1077 bp					
123	KWMTBOMO00123	Bomo_Chr1	Uncharacterized_protein_OBRU01_18498_[Operophtera_brumata]			
	3258 bp					
124	KWMTBOMO00124	Bomo_Chr1	PREDICTED:_PQ-loop_repeat-containing_protein_3_[Bombyx_mori]			
	663 bp					
125	KWMTBOMO00125	Bomo_Chr1	reverse_transcriptase_[Bombyx_mori]			
	879 bp					
126	KWMTBOMO00126	Bomo_Chr1	melatonin_receptor-like_[Bombyx_mori]	GO:0016021	C	integral to membrane
	1095 bp			GO:0004930	F	G-protein coupled receptor activity
				GO:0007186	P	G-protein coupled receptor protein signaling pathway
127	KWMTBOMO00127	Bomo_Chr1	PREDICTED:_CUB_and_sushi_domain-containing_protein_2_[Amyelois_transitella]			
	3345 bp					
128	KWMTBOMO00128	Bomo_Chr1	hypothetical_protein_KGM_18572_[Danaus_plexippus]	GO:0019901	F	protein kinase binding
	615 bp					
129	KWMTBOMO00129	Bomo_Chr1	PREDICTED:_protein_phosphatase_1_regulatory_subunit_12C_isoform_X6_[Bombyx_mori]	GO:0005515	F	protein binding
	1938 bp					
130	KWMTBOMO00130	Bomo_Chr1	PREDICTED:_disco-interacting_protein_2_isoform_X5_[Papilio_xuthus]	GO:0003824	F	catalytic activity
	2406 bp			GO:0008152	P	metabolic process
131	KWMTBOMO00131	Bomo_Chr1	PREDICTED:_disco-interacting_protein_2_[Bombyx_mori]	GO:0003824	F	catalytic activity
	2193 bp			GO:0008152	P	metabolic process
132	KWMTBOMO00132	Bomo_Chr1				
	294 bp					
133	KWMTBOMO00133	Bomo_Chr1	PREDICTED:_uncharacterized_protein_LOC101745010_[Bombyx_mori]	GO:0003676	F	nucleic acid binding
	3942 bp			GO:0015074	P	DNA integration
134	KWMTBOMO00134	Bomo_Chr1	PREDICTED:_RNA-binding_protein_41_isoform_X1_[Monodelphis_domestica]	GO:0000166	F	nucleotide binding
	318 bp			GO:0003676	F	nucleic acid binding
135	KWMTBOMO00135	Bomo_Chr1	"PREDICTED:_arf-GAP_with_Rho-GAP_domain,_ANK_repeat_and_PH_domain-containing_protein_2_[Bombyx_mori]"			
	1710 bp					
136	KWMTBOMO00136	Bomo_Chr1	endonuclease_and_reverse_transcriptase-like_protein_[Bombyx_mori]			
	2964 bp					
137	KWMTBOMO00137	Bomo_Chr1	"PREDICTED:_arf-GAP_with_Rho-GAP_domain,_ANK_repeat_and_PH_domain-containing_protein_2_[Bombyx_mori]"			
	420 bp					
138	KWMTBOMO00138	Bomo_Chr1	PREDICTED:_uncharacterized_protein_LOC106138993_[Amyelois_transitella]	GO:0003676	F	nucleic acid binding
	1470 bp			GO:0008270	F	zinc ion binding
				GO:0004190	F	aspartic-type endopeptidase activity
				GO:0006508	P	proteolysis
139	KWMTBOMO00139	Bomo_Chr1	"PREDICTED:_arf-GAP_with_Rho-GAP_domain,_ANK_repeat_and_PH_domain-containing_protein_2_[Bombyx_mori]"	GO:0007165	P	signal transduction
	1272 bp					
140	KWMTBOMO00140	Bomo_Chr1	"PREDICTED:_dynein_heavy_chain_5,_axonemal-like_[Bombyx_mori]"			
	1248 bp					
141	KWMTBOMO00141	Bomo_Chr1				
	333 bp					
142	KWMTBOMO00142	Bomo_Chr1				
	216 bp					
143	KWMTBOMO00143	Bomo_Chr1	"Dynein_heavy_chain_5,_axonemal_[Papilio_xuthus]"			
	693 bp					
144	KWMTBOMO00144	Bomo_Chr1	"PREDICTED:_LOW_QUALITY_PROTEIN:_dynein_heavy_chain_5,_axonemal_[Plutella_xylostella]"			
	483 bp					
145	KWMTBOMO00145	Bomo_Chr1	"PREDICTED:_dynein_heavy_chain_5,_axonemal_[Papilio_polytes]"	GO:0005524	F	ATP binding
	7380 bp			GO:0016887	F	ATPase activity
				GO:0003777	F	microtubule motor activity
				GO:0007018	P	microtubule-based movement
				GO:0030286	C	dynein complex
146	KWMTBOMO00146	Bomo_Chr1	"PREDICTED:_ADP,ATP_carrier_protein-like_[Amyelois_transitella]"	GO:0005215	F	transporter activity
	930 bp			GO:0005743	C	mitochondrial inner membrane
				GO:0006810	P	transport
147	KWMTBOMO00147	Bomo_Chr1	PREDICTED:_ATP-binding_cassette_sub-family_F_member_2_isoform_X1_[Bombyx_mori]	GO:0005524	F	ATP binding
	1869 bp			GO:0016887	F	ATPase activity
148	KWMTBOMO00148	Bomo_Chr1	PREDICTED:_calcium-binding_mitochondrial_carrier_protein_SCaMC-2_isoform_X2_[Bombyx_mori]	GO:0005743	C	mitochondrial inner membrane
	936 bp					
149	KWMTBOMO00149	Bomo_Chr1	mariner_transposase_[Bombyx_mori]			
	1053 bp					
150	KWMTBOMO00150	Bomo_Chr1	PREDICTED:_calcium-binding_mitochondrial_carrier_protein_SCaMC-2-like_isoform_X1_[Bombyx_mori]	GO:0005509	F	calcium ion binding
	567 bp					
151	KWMTBOMO00151	Bomo_Chr1	PREDICTED:_nuclear_receptor_subfamily_2_group_E_member_1_[Amyelois_transitella]	GO:0003700	F	transcription factor activity
	1146 bp			GO:0005634	C	nucleus
				GO:0006355	P	"regulation of transcription, DNA-dependent"
				GO:0008270	F	zinc ion binding
				GO:0043565	F	sequence-specific DNA binding
				GO:0043401	P	steroid hormone mediated signaling
				GO:0003677	F	DNA binding
				GO:0003707	F	steroid hormone receptor activity
