Trinity_ID	SB_ID	SB_chr	SB_start	SB_end	evalue	bitscore
KWMTBOMO00580	KWMTBOMO00580	Bomo_Chr1	17303501	17328363	0.0	1010
KWMTBOMO00582	KWMTBOMO00582	Bomo_Chr1	17363368	17389322	0.0	5193
KWMTBOMO00587	KWMTBOMO00587	Bomo_Chr1	17513513	17517592	0.0	423
KWMTBOMO00589	KWMTBOMO00589	Bomo_Chr1	17558978	17570362	0.0	430
KWMTBOMO00591	KWMTBOMO00591	Bomo_Chr1	17918927	17941875	0.0	2930
KWMTBOMO00595	KWMTBOMO00595	Bomo_Chr1	18041783	18055195	4.22e-114	407
KWMTBOMO00599	KWMTBOMO00599	Bomo_Chr1	18224090	18242260	0.0	2167
KWMTBOMO00600	KWMTBOMO00600	Bomo_Chr1	18247580	18253852	0.0	1665
KWMTBOMO00603	KWMTBOMO00603	Bomo_Chr1	18271210	18273914	0.0	867
KWMTBOMO00607	KWMTBOMO00607	Bomo_Chr1	18471771	18476379	1.63e-155	300
KWMTBOMO00608	KWMTBOMO00608	Bomo_Chr1	18619889	18626741	1.01e-139	493
KWMTBOMO00610	KWMTBOMO00610	Bomo_Chr1	18727909	18731299	0.0	1057
KWMTBOMO00617	KWMTBOMO00617	Bomo_Chr1	19161955	19191718	0.0	1188
KWMTBOMO00618	KWMTBOMO00618	Bomo_Chr1	19193269	19208600	0.0	1518
KWMTBOMO00622	KWMTBOMO00622	Bomo_Chr1	19396599	19399545	4.02e-164	574
KWMTBOMO00624	KWMTBOMO00624	Bomo_Chr1	19430791	19432525	2.58e-81	297
KWMTBOMO00626	KWMTBOMO00626	Bomo_Chr1	19440731	19443689	1.83e-95	345
KWMTBOMO00633	KWMTBOMO00633	Bomo_Chr1	19672931	19676617	2.06e-89	325
KWMTBOMO00639	KWMTBOMO00639	Bomo_Chr1	19774512	19789034	0.0	791
KWMTBOMO00641	KWMTBOMO00641	Bomo_Chr1	19835807	19874264	0.0	1412
KWMTBOMO00642	KWMTBOMO00642	Bomo_Chr1	19896485	19910424	1.93e-173	605
KWMTBOMO00643	KWMTBOMO00643	Bomo_Chr1	19945508	20002724	0.0	2375
KWMTBOMO00657	KWMTBOMO00657	Bomo_Chr1	20347134	20349319	0.0	648
KWMTBOMO00663	KWMTBOMO00663	Bomo_Chr1	20549434	20555416	3.37e-161	564
KWMTBOMO00673	KWMTBOMO00673	Bomo_Chr2	133623	138575	0.0	332
KWMTBOMO00675	KWMTBOMO00675	Bomo_Chr2	151974	157575	0.0	365
KWMTBOMO00677	KWMTBOMO00677	Bomo_Chr2	244366	247536	9.31e-92	110
KWMTBOMO00678	KWMTBOMO00678	Bomo_Chr2	253536	294315	0.0	369
KWMTBOMO00679	KWMTBOMO00679	Bomo_Chr2	377646	381228	2.59e-162	568
KWMTBOMO00683	KWMTBOMO00683	Bomo_Chr2	423056	427555	2.20e-107	385
KWMTBOMO00687	KWMTBOMO00687	Bomo_Chr2	520856	532998	0.0	1249
KWMTBOMO00688	KWMTBOMO00688	Bomo_Chr2	536437	552215	0.0	1861
KWMTBOMO00689	KWMTBOMO00689	Bomo_Chr2	552696	556767	0.0	850
KWMTBOMO00690	KWMTBOMO00690	Bomo_Chr2	561872	568045	0.0	1982
KWMTBOMO00691	KWMTBOMO00691	Bomo_Chr2	568768	570415	6.82e-180	626
KWMTBOMO00692	KWMTBOMO00692	Bomo_Chr2	571937	574585	0.0	887
KWMTBOMO00693	KWMTBOMO00693	Bomo_Chr2	575527	579825	0.0	868
KWMTBOMO00695	KWMTBOMO00695	Bomo_Chr2	595146	643129	0.0	1427
KWMTBOMO00696	KWMTBOMO00696	Bomo_Chr2	652597	663575	4.18e-120	290
KWMTBOMO00704	KWMTBOMO00704	Bomo_Chr2	824355	837939	1.98e-122	435
KWMTBOMO00705	KWMTBOMO00705	Bomo_Chr2	845572	846834	0.0	761
KWMTBOMO00706	KWMTBOMO00706	Bomo_Chr2	849114	851054	5.31e-108	387
KWMTBOMO00710	KWMTBOMO00710	Bomo_Chr2	946125	961889	0.0	1410
KWMTBOMO00711	KWMTBOMO00711	Bomo_Chr2	968556	980154	2.41e-157	551
KWMTBOMO00712	KWMTBOMO00712	Bomo_Chr2	981105	1025409	0.0	632
KWMTBOMO00716	KWMTBOMO00716	Bomo_Chr2	1168782	1202044	0.0	1107
KWMTBOMO00717	KWMTBOMO00717	Bomo_Chr2	1274592	1292375	1.34e-86	315
KWMTBOMO00718	KWMTBOMO00718	Bomo_Chr2	1300467	1310215	0.0	405
KWMTBOMO00720	KWMTBOMO00720	Bomo_Chr2	1408296	1456472	0.0	373
KWMTBOMO00722	KWMTBOMO00722	Bomo_Chr2	1472574	1501475	0.0	1810
KWMTBOMO00723	KWMTBOMO00723	Bomo_Chr2	1509657	1530205	0.0	932
KWMTBOMO00724	KWMTBOMO00724	Bomo_Chr2	1570016	1574840	1.06e-113	406
KWMTBOMO00725	KWMTBOMO00725	Bomo_Chr2	1575726	1577440	2.26e-92	283
KWMTBOMO00727	KWMTBOMO00727	Bomo_Chr2	1588956	1630932	1.23e-146	400
KWMTBOMO00728	KWMTBOMO00728	Bomo_Chr2	1631138	1632635	0.0	836
KWMTBOMO00729	KWMTBOMO00729	Bomo_Chr2	1635776	1646739	0.0	1347
KWMTBOMO00730	KWMTBOMO00730	Bomo_Chr2	1657836	1709255	0.0	838
KWMTBOMO00731	KWMTBOMO00731	Bomo_Chr2	1730669	1753005	6.46e-159	556
KWMTBOMO00732	KWMTBOMO00732	Bomo_Chr2	1774336	1776889	0.0	847
KWMTBOMO00733	KWMTBOMO00733	Bomo_Chr2	1786000	1787145	1.50e-144	509
KWMTBOMO00734	KWMTBOMO00734	Bomo_Chr2	1809420	1810765	9.89e-152	533
KWMTBOMO00735	KWMTBOMO00735	Bomo_Chr2	1820666	1823863	2.84e-103	371
KWMTBOMO00736	KWMTBOMO00736	Bomo_Chr2	1829236	1830240	0.0	661
KWMTBOMO00737	KWMTBOMO00737	Bomo_Chr2	1854736	1858439	0.0	826
KWMTBOMO00750	KWMTBOMO00750	Bomo_Chr2	2418446	2422290	7.83e-128	453
KWMTBOMO00752	KWMTBOMO00752	Bomo_Chr2	2452113	2452905	6.92e-148	520
KWMTBOMO00763	KWMTBOMO00763	Bomo_Chr2	2551246	2552741	8.68e-82	265
KWMTBOMO00773	KWMTBOMO00773	Bomo_Chr2	2705052	2712405	0.0	873
KWMTBOMO00775	KWMTBOMO00775	Bomo_Chr2	2829155	2844359	0.0	1128
KWMTBOMO00776	KWMTBOMO00776	Bomo_Chr2	2847746	2853744	0.0	1116
KWMTBOMO00778	KWMTBOMO00778	Bomo_Chr2	2864995	2868769	2.37e-92	335
KWMTBOMO00780	KWMTBOMO00780	Bomo_Chr2	2878588	2888774	0.0	979
KWMTBOMO00782	KWMTBOMO00782	Bomo_Chr2	2898043	2902324	2.23e-125	445
KWMTBOMO00783	KWMTBOMO00783	Bomo_Chr2	2905255	2911849	2.51e-162	568
KWMTBOMO00784	KWMTBOMO00784	Bomo_Chr2	2926754	2944304	0.0	1568
KWMTBOMO00788	KWMTBOMO00788	Bomo_Chr2	2983846	2999164	0.0	1055
KWMTBOMO00794	KWMTBOMO00794	Bomo_Chr2	3076139	3081444	6.17e-147	517
KWMTBOMO00800	KWMTBOMO00800	Bomo_Chr2	3162385	3180624	0.0	958
KWMTBOMO00801	KWMTBOMO00801	Bomo_Chr2	3185830	3188594	0.0	656
KWMTBOMO00806	KWMTBOMO00806	Bomo_Chr2	3281655	3282853	8.66e-133	469
KWMTBOMO00814	KWMTBOMO00814	Bomo_Chr2	3393077	3405182	1.38e-83	305
KWMTBOMO00815	KWMTBOMO00815	Bomo_Chr2	3417547	3421885	0.0	1937
KWMTBOMO00820	KWMTBOMO00820	Bomo_Chr2	3461947	3475817	0.0	1628
KWMTBOMO00831	KWMTBOMO00831	Bomo_Chr2	3861398	3862200	1.34e-105	141
KWMTBOMO00834	KWMTBOMO00834	Bomo_Chr2	4015070	4020030	0.0	945
KWMTBOMO00837	KWMTBOMO00837	Bomo_Chr2	4099237	4102521	0.0	638
KWMTBOMO00838	KWMTBOMO00838	Bomo_Chr2	4103662	4106912	1.93e-99	358
KWMTBOMO00839	KWMTBOMO00839	Bomo_Chr2	4110274	4114161	5.30e-111	397
KWMTBOMO00840	KWMTBOMO00840	Bomo_Chr2	4116762	4129590	4.57e-180	627
KWMTBOMO00842	KWMTBOMO00842	Bomo_Chr2	4195532	4216645	0.0	471
KWMTBOMO00843	KWMTBOMO00843	Bomo_Chr2	4223692	4255705	0.0	950
KWMTBOMO00844	KWMTBOMO00844	Bomo_Chr2	4261111	4287931	0.0	907
KWMTBOMO00854	KWMTBOMO00854	Bomo_Chr2	4465032	4469840	3.11e-107	384
KWMTBOMO00857	KWMTBOMO00857	Bomo_Chr2	4588760	4601918	4.62e-162	567
KWMTBOMO00859	KWMTBOMO00859	Bomo_Chr2	4690761	4744558	6.67e-127	450
KWMTBOMO00860	KWMTBOMO00860	Bomo_Chr2	4789519	4806136	2.47e-126	448
KWMTBOMO00861	KWMTBOMO00861	Bomo_Chr2	4806169	4809668	2.06e-109	391
KWMTBOMO00867	KWMTBOMO00867	Bomo_Chr2	5087043	5088026	1.06e-178	622
KWMTBOMO00868	KWMTBOMO00868	Bomo_Chr2	5156467	5157552	1.71e-158	455
KWMTBOMO00869	KWMTBOMO00869	Bomo_Chr2	5207621	5209732	0.0	1275
KWMTBOMO00873	KWMTBOMO00873	Bomo_Chr2	5309071	5312239	0.0	749
KWMTBOMO00874	KWMTBOMO00874	Bomo_Chr2	5313975	5330120	0.0	1225
KWMTBOMO00877	KWMTBOMO00877	Bomo_Chr2	5412701	5424087	6.50e-166	531
KWMTBOMO00878	KWMTBOMO00878	Bomo_Chr2	5432899	5439330	0.0	1778
KWMTBOMO00879	KWMTBOMO00879	Bomo_Chr2	5442966	5444660	7.24e-137	483
KWMTBOMO00881	KWMTBOMO00881	Bomo_Chr2	5467961	5528218	0.0	776
KWMTBOMO00882	KWMTBOMO00882	Bomo_Chr2	5537971	5547114	5.13e-148	520
KWMTBOMO00884	KWMTBOMO00884	Bomo_Chr2	5578471	5589594	0.0	656
KWMTBOMO00886	KWMTBOMO00886	Bomo_Chr2	5597372	5644610	0.0	880
KWMTBOMO00889	KWMTBOMO00889	Bomo_Chr2	5740543	5751204	0.0	2251
KWMTBOMO00890	KWMTBOMO00890	Bomo_Chr2	5800746	5818614	0.0	1038
KWMTBOMO00891	KWMTBOMO00891	Bomo_Chr2	5819645	5827588	0.0	2947
KWMTBOMO00893	KWMTBOMO00893	Bomo_Chr2	5849026	5863264	0.0	763
